address,area,balcony,cellar,city,contact_name,district,elevator,extra_costs,floor,garden,immo_id,kitchen,lat,lng,media_count,phone,private,rent,rooms,sqm,time_dest,time_dest2,time_dest3,title,url,wbs,wg,zip_code
Afrikanische Str. 4,,true,,Berlin,Jens Kelpin,Wedding (Wedding),true,190,,false,115093110,false,52.547,13.3435,8,030 89100110,false,620,2,63.05,22.516666666666666,21.65,29.983333333333334,Besichtigung am Donnerstag 02.01. um 13:00 Uhr! Schöne 2 Zimmer Whg. WG geeignet mit Balkon,https://www.immobilienscout24.de/expose/115093110,false,true,13351
Schloßstraße 34,,true,,Berlin,,Charlottenburg (Charlottenburg),false,150,,false,115169405,false,52.51237,13.29759,5,030 403907100,false,699,1,53,28.866666666666667,29.283333333333335,18.583333333333332,Moderne und großzügige 1-Zimmer-Wohnung im Herzen Charlottenburgs!,https://www.immobilienscout24.de/expose/115169405,false,false,14059
Finowstraße 15,,true,,Berlin,Vermietungsteam Stadthaus Verwaltungsgesellschaft,Neukölln (Neukölln),false,160,,false,115169451,false,52.48319,13.44459,8,030 236314926,false,639,2.5,67.6,33.53333333333333,12.566666666666666,16.883333333333333,"Weigandufer! 2,5 Zimmer - hochwertiges Laminat - Balkon - Neue Sani Objekte - ca. 68 qm für 799 €",https://www.immobilienscout24.de/expose/115169451,false,true,12045
Zillestrasse 19,,true,,Berlin,,Charlottenburg (Charlottenburg),true,180,,false,61775788,false,52.51375,13.31246,5,030 403907100,false,689,2,53,27.733333333333334,19.366666666666667,25.65,Moderne 2-Zimmer-Wohnung mit Balkon nahe der Deutschen Oper sucht neue Mieter!,https://www.immobilienscout24.de/expose/61775788,false,false,10585
Finowstraße 23,,true,,Berlin,Vermietungsteam Stadthaus Verwaltungsgesellschaft,Neukölln (Neukölln),false,116,,false,115166498,false,52.48274,13.44333,11,030 236314926,false,630,2,55.93,33.81666666666667,12.65,16.8,Neukölln - 2 Zimmerwohnung - Balkon Abgezogene Dielen - Parkett - Wannenbad - ca. 56 m² - 746 € warm,https://www.immobilienscout24.de/expose/115166498,false,true,12045
Karl-Marx-Straße 156,,false,,Berlin,,Neukölln (Neukölln),false,110,,false,114951572,false,52.4654,13.44309,5,030 403907100,false,529,1,44,17.866666666666667,24.816666666666666,5.733333333333333,Geräumige 1- Zimmerwohnung in Neukölln zu vermieten!,https://www.immobilienscout24.de/expose/114951572,false,false,12057
Landhausstr. 31,,true,true,Berlin,,Wilmersdorf (Wilmersdorf),true,171,,false,114847916,false,52.48881,13.32912,7,0176 10 45 45 32,false,663,2,53.03,25.933333333333334,23.783333333333335,19.833333333333332,"~Sanierte, helle Wohnung - zentral und ruhig gelegen~ Balkon, Aufzug, Stellplatz~",https://www.immobilienscout24.de/expose/114847916,false,false,10717
Wiesbadener Straße 13a,,false,true,Berlin,Sandra Grudzinska,Friedenau (Schöneberg),false,175.00000000000006,,false,114772954,false,52.4719,13.32205,6,,false,500.33,2,55.2,36.35,27.316666666666666,18.85,Gepflegtes Wohnen im Altbau,https://www.immobilienscout24.de/expose/114772954,false,false,12161
Kaiserdamm 6,,false,,Berlin,Kübler Selectra Kübler GmbH Berlin,Charlottenburg (Charlottenburg),false,126,,false,103742463,false,52.5109,13.29247,5,030 6857305,false,455,1,55.92,26.65,22.366666666666667,21.866666666666667,Kaiserdamm geräumige 1 Zimmmerwohnung,https://www.immobilienscout24.de/expose/103742463,false,false,14057
Hohenzollerndamm 6,,false,,Berlin,,Wilmersdorf (Wilmersdorf),false,130,,false,115167862,false,52.49542,13.32811,5,030 403907100,false,659,2,50,24.816666666666666,21.85,20.483333333333334,Wunderschöne 2 Zimmer Wohnung am Hohenzollerndamm zu vermieten!,https://www.immobilienscout24.de/expose/115167862,false,false,10717
Nordufer 5,,true,,Berlin,Jens Kelpin,Wedding (Wedding),true,199,,false,115137962,true,52.53939,13.35649,8,,false,582,2,64.34,22.383333333333333,17.583333333333332,24.016666666666666,Besichtigung am Sonntag 05.01. um 14:00 Uhr! Tolle 2 Zimmmer Wohnung! EBK und Loggia!,https://www.immobilienscout24.de/expose/115137962,false,true,13353
Bürgerstraße 55,,true,true,Berlin,Nico Gummelt,Britz (Neukölln),false,60,,false,114684372,false,52.46147,13.4384,6,,false,550,1,50,26.35,27.233333333333334,10.233333333333333,Zentrale 1 Zimmerwohnung ab sofort zu vermieten,https://www.immobilienscout24.de/expose/114684372,false,false,12347
Uhlandstraße 106,,true,true,Berlin,Alexandra Nepomnyashcha,Wilmersdorf (Wilmersdorf),true,111,,false,115121404,false,52.48786,13.32289,17,,false,588,1,44.06,26.25,23.55,19.566666666666666,Helle Wohnung mit großem Balkon,https://www.immobilienscout24.de/expose/115121404,false,false,10717
Kölner Damm 64,,true,true,Berlin,,Buckow (Neukölln),false,173.28999999999996,,false,114528410,true,52.4249,13.45079,18,,false,440.02,2,57.49,35.916666666666664,33.483333333333334,18.366666666666667,Ruhiglage im grünen Buckow mit Balkon - komplett renoviert - sofort bezugsfrei,https://www.immobilienscout24.de/expose/114528410,false,false,12353
Brunnenstraße 112,,false,true,Berlin,Pemela Berisa,Wedding (Wedding),false,208.26,,false,74089699,false,52.54228,13.39256,3,030 21497258,false,673.75,1,61.25,27.483333333333334,9.566666666666666,28.533333333333335,Schöne 1-Zimmeraltbauwohnung im Brunnenkiez,https://www.immobilienscout24.de/expose/74089699,false,false,13355
Seestr. 22,,false,,Berlin,Benno Rochow,Wedding (Wedding),false,100.0,,false,114453115,false,52.5468,13.3463,4,030 48637777,false,498.62,1,45.65,22.166666666666668,19.516666666666666,28.666666666666668,Auf der Suche nach eine großen 1 Zimmerwohnung in ruhiger Lage?,https://www.immobilienscout24.de/expose/114453115,false,false,13353
Hohenzollerndamm 67a,,false,,Berlin,,Schmargendorf (Wilmersdorf),false,121.58000000000004,,false,114798590,false,52.48362,13.29157,6,0176 10 45 45 11,false,578.4,1.5,48.2,34.983333333333334,29.366666666666667,20.8,"Helle und  gut geschnittene 1,5 Zimmerwohnung in Schmargendorf!!",https://www.immobilienscout24.de/expose/114798590,false,false,14199
Wohlgemuthstr. 32,,false,true,Berlin,Franz Matuschek,Baumschulenweg (Treptow),false,100,,true,79734050,true,52.46276,13.48253,15,,true,670,2,60,43.483333333333334,23.833333333333332,11.683333333333334,"Elegante, helle, kernsanierte Altbauwohnung in ruhiger Lage",https://www.immobilienscout24.de/expose/79734050,false,false,12347
Bundesallee 156,,false,,Berlin,Anatol Well,Wilmersdorf (Wilmersdorf),false,167,,false,115182920,false,52.48062,13.32909,7,030 221821728,false,572,2,56.41,26.583333333333332,23.766666666666666,18.433333333333334,"Besichtigung am Mittwoch, den 08.01. um 10 Uhr # Grundsolide 2 Zimmerwohnung unweit Volkspark",https://www.immobilienscout24.de/expose/115182920,false,false,10715
Gärtnerstraße 28,,true,,Berlin,M. Jank,Friedrichshain (Friedrichshain),false,170.0,,false,115182462,false,52.50955,13.45999,7,030 41728340,false,674.63,2,54.66,32.53333333333333,12.7,14.133333333333333,2-Zimmer-Wohnung mit Balkon,https://www.immobilienscout24.de/expose/115182462,false,false,10245
Karl-Vesper-Str. 1,,true,,Berlin,,Lichtenberg (Lichtenberg),false,154.99999999999994,,false,115180403,false,52.52869,13.46026,2,,false,449.55,3,70,30.333333333333332,12.85,23.633333333333333,"OHNE WBS, mit Balkon!",https://www.immobilienscout24.de/expose/115180403,false,false,10369
Anton-Saefkow-Platz 3,,true,,Berlin,,Lichtenberg (Lichtenberg),false,146.91000000000003,,false,115180402,false,52.52982,13.47235,2,,false,283.09,2,45.5,40.06666666666667,13.8,26.183333333333334,"MIT WBS, ebenerdiger Zugang!",https://www.immobilienscout24.de/expose/115180402,false,false,10369
Bornholmer Strasse 18,,true,,Berlin,  Privatangebot,Prenzlauer Berg (Prenzlauer Berg),false,105,,false,115176132,false,52.55464,13.4059,7,,false,690,1.5,50,25.683333333333334,13.8,31.633333333333333,sanierte 1.5 Zimmer Wohnung in Prenzlauer Berg,https://www.immobilienscout24.de/expose/115176132,false,false,10439
Aronsstraße 128,,true,,Berlin,Dr.-Ing. Mohammed Ali,Neukölln (Neukölln),true,150,,false,115174863,false,52.47199,13.46482,15,,true,500,2,48.23,29.05,24.433333333333334,8.05,"Charmante 2-Zimmer-Wohnung mit Balkon in Neukölln, Berlin",https://www.immobilienscout24.de/expose/115174863,false,false,12057
Wilhelm-Guddorf-Str. 16,,true,,Berlin,Tina Wagenlader,Lichtenberg (Lichtenberg),false,176.52999999999997,,false,115171983,false,52.51053,13.47719,3,,false,526.88,2,65.77,35.0,15.483333333333333,16.6,Ihre neue Wohlfühloase,https://www.immobilienscout24.de/expose/115171983,false,false,10365
Landsberger Allee 18,,false,,Berlin,Jona Kolbe,Friedrichshain (Friedrichshain),false,132,,false,115171610,false,52.52306,13.4362,13,,false,695,2,57.85,27.616666666666667,7.666666666666667,22.116666666666667,Schöne 2. Zimmer Wohnung in bester Lage - JAHRESMIETVERTRAG !!,https://www.immobilienscout24.de/expose/115171610,false,false,10249
Wisbyer Straße 27c,,true,,Berlin,Anika Schubert,Pankow (Pankow),false,150.19999999999993,,false,115169151,false,52.5515,13.42739,16,030 208981940,false,520.09,1,51.75,34.7,9.7,30.016666666666666,Wohnen im Gudvanger Viertel 2-Zimmer-Wohnung mit Balkon zum ruhigen und grünen Innenhof,https://www.immobilienscout24.de/expose/115169151,false,false,10439
Andreasberger Str. 6,,true,,Berlin,,Britz (Neukölln),false,209.60000000000002,,false,115166917,false,52.46013,13.42724,7,0176 10 49 74 30,false,661.48,2,57.52,30.65,28.566666666666666,13.233333333333333,++NEW LIVING-WG-WOHNEN IM HERZEN VON BRITZ + BALKON++,https://www.immobilienscout24.de/expose/115166917,false,true,12347
Hochstr. 12a,,true,,Berlin,Kathi Piaskowski,Wedding (Wedding),false,174,,false,115166101,false,52.54734,13.37985,19,030 221821792,false,651,1.5,47.59,353.1333333333333,336.78333333333336,330.5,helle u. sanierte Whg. wartet auf Sie!,https://www.immobilienscout24.de/expose/115166101,false,false,13357
Hermannstr. 63,,true,,Berlin,Tony Vekony,Neukölln (Neukölln),false,150,,false,115163080,false,52.47567,13.42646,7,,false,699,2,50.2,25.95,20.35,5.016666666666667,modernisierte Altbauwohnung 2-Zimmer im EG,https://www.immobilienscout24.de/expose/115163080,false,false,12049
Wilhelmsaue 00,,false,,Berlin,Emma Moll,Wilmersdorf (Wilmersdorf),false,70,,false,115162537,false,52.48527,13.32487,9,,true,525,1.5,50,25.416666666666668,24.366666666666667,19.683333333333334,"Schöne, gepflegte 1,5-Zimmer-Wohnung in Wilmersdorf, Nähe Volkspark",https://www.immobilienscout24.de/expose/115162537,false,false,10715
Weserstrasse 44,,false,,Berlin,,Neukölln (Neukölln),false,97,,false,115131485,false,52.48446,13.43786,4,,true,547,2,59,25.833333333333332,19.916666666666668,4.466666666666667,2 Zimmer mitten im Weserkiez - Ruhige Wohnung zum Hof - Studenten willkommen,https://www.immobilienscout24.de/expose/115131485,false,false,12045
Spessartstraße 11,,true,true,Berlin,,Wilmersdorf (Wilmersdorf),false,140,,true,115125101,true,52.47513,13.31505,5,,true,700,2,55,30.15,28.033333333333335,19.15,Frisch sanierte zwei Zimmer Wohnung nahe dem Rüdesheimer Platz,https://www.immobilienscout24.de/expose/115125101,false,false,14197
Kastanienallee 52,,false,,Berlin,,Mitte (Mitte),false,150,,false,115121565,true,52.53381,13.40438,16,,false,690,2,52.8,24.033333333333335,6.2,25.683333333333334,Zwischenmieter für 2-Zimmer-Wohnung in Mitte (max. 3 Jahre) | Verfügbar ab sofort,https://www.immobilienscout24.de/expose/115121565,false,true,10119
Kirchstraße 5,,false,,Berlin,Westfalia Immobilienverwaltung Berlin Wohnungen,Tiergarten (Tiergarten),false,100,,false,115117283,false,52.52377,13.34866,7,0800 757500130,false,560,2,54.43,611.1333333333333,671.55,665.2666666666667,2 Raum Wohnung in Berlin zu vermieten,https://www.immobilienscout24.de/expose/115117283,false,false,10557
Michael-Bohnen-Ring 17,,true,true,Berlin,Jens Florl,Neukölln (Neukölln),true,228.0,,false,115097421,false,52.46445,13.47644,5,0234 414700001,false,374.03,2,63.35,36.13333333333333,26.1,10.683333333333334,Wohnglück - 2-Zimmer-Wohnung,https://www.immobilienscout24.de/expose/115097421,false,false,12057
Michael-Bohnen-Ring 52,,false,,Berlin,Jens Florl,Neukölln (Neukölln),true,175.0,,false,115097419,false,52.46541,13.47348,5,0234 414700001,false,345.13,1.5,49.29,32.06666666666667,26.283333333333335,9.833333333333334,"Wohn(t)raum: günstiges 1,5-Zimmer-Appartment",https://www.immobilienscout24.de/expose/115097419,false,false,12057
Rudolf-Seiffert-Straße 29,,true,true,Berlin,Franziska Neumann,Lichtenberg (Lichtenberg),true,104.00000000000006,,false,115087354,false,52.52764,13.47067,2,0234 414700001,false,420.95,1,40.09,37.38333333333333,14.3,24.1,Bezugsfähige Wohnung sucht Mieter: hier können Sie ohne Kosten und Mühe direkt einziehen.,https://www.immobilienscout24.de/expose/115087354,false,false,10369
Löwestraße 11,,false,,Berlin,Hans-Jürgen Holstein,Friedrichshain (Friedrichshain),false,250,,false,115078153,true,52.51956,13.44647,5,0172 3202818,false,585,2,65.01,29.683333333333334,9.233333333333333,19.8,Gut geschnittene 2-Zi-Wohnung im sanierten Altbau - Bezug zum 1.3. möglich,https://www.immobilienscout24.de/expose/115078153,false,false,10249
Schottstraße 5,,true,true,Berlin,Sabine von Besorowski,Lichtenberg (Lichtenberg),false,175.40999999999997,,false,114980661,true,52.51552,13.49068,4,,false,537.97,2,44.92,305.05,355.68333333333334,349.4,"Zentrale Lage! 2 Zimmer, Balkon, Parkettboden, neu gefliestes Badezimmer!",https://www.immobilienscout24.de/expose/114980661,false,false,10365
Warthestraße 56 a,,false,,Berlin,Paolo Guerra,Neukölln (Neukölln),false,90,,false,114978771,true,52.46956,13.42505,16,,false,490,1,41,26.483333333333334,23.883333333333333,8.55,Möblierte -1-Zimmer-Altbauwohnung am Wartheplatz in Neukölln,https://www.immobilienscout24.de/expose/114978771,false,false,12051
Gotenstraße 69,,true,,Berlin,Vermietungsteam Stadthaus Verwaltungsgesellschaft,Schöneberg (Schöneberg),false,116,,false,114931502,false,52.48258,13.36057,8,030 236314926,false,527,1,46.81,301.5833333333333,333.98333333333335,327.68333333333334,Schöneberger Insel! Charmante 1-Zimmerwohnung - Laminat - Balkon - ca. 47 m² - 643 € warm,https://www.immobilienscout24.de/expose/114931502,false,false,10829
Schlüterstr. 70,,true,true,Berlin,A. Schafranek,Charlottenburg (Charlottenburg),false,98,,false,114920151,false,52.508,13.31826,6,,false,613,1,43.92,26.8,19.133333333333333,24.566666666666666,Tolles Apartment in ruhiger und zentraler Lage - Anfragen bitte per Mail,https://www.immobilienscout24.de/expose/114920151,false,false,10625
Peter-Anders-Straße 4,,true,true,Berlin,Jens Florl,Neukölln (Neukölln),true,246.0,,false,114896846,false,52.46427,13.47559,5,0234 414700001,false,478.85,2,68.8,328.5,361.56666666666666,355.28333333333336,renovierte 2 Zimmer Wohnung in Neukölln - ohne WBS,https://www.immobilienscout24.de/expose/114896846,false,false,12057
Franz-Künstler-Str. 7A,,true,true,Berlin,Klaudia Mazelanik,Kreuzberg (Kreuzberg),true,156.59000000000003,,false,114893120,false,52.50153,13.40009,6,,false,538.56,1,42.24,15.283333333333333,10.2,14.566666666666666,Singles aufgepasst!,https://www.immobilienscout24.de/expose/114893120,false,false,10969
Franz-Künstler-Str. 7A,,true,true,Berlin,Klaudia Mazelanik,Kreuzberg (Kreuzberg),true,156.22000000000003,,false,114893115,false,52.50153,13.40009,5,,false,537.29,1,42.14,15.283333333333333,10.2,14.566666666666666,Single? Ich bin noch zu haben...!,https://www.immobilienscout24.de/expose/114893115,false,false,10969
Neue Bahnhofstraße 23,,false,,Berlin,Julius Frenger,Friedrichshain (Friedrichshain),false,100,,false,114839870,false,52.50727,13.47049,8,0173 8057215,true,670,2,49,23.233333333333334,14.316666666666666,14.3,UNTERMIETE/SUBLET: Altbauwohnung am Ostkreuz,https://www.immobilienscout24.de/expose/114839870,false,false,10245
Leykestraße 0,,true,true,Berlin,Ann-Marie Oberbüchler,Neukölln (Neukölln),false,50,,false,114834127,true,52.47495,13.42906,5,,true,550,1,40,25.9,21.45,5.216666666666667,"Schöne, geräumige Ein- Zimmer Wohnung in Berlin, Neukölln",https://www.immobilienscout24.de/expose/114834127,false,false,12053
Mollwitzstr. 8,,true,,Berlin,Betuel Derya-Tastekin,Charlottenburg (Charlottenburg),false,181.56999999999994,,false,114782403,false,52.5206,13.2899,3,,false,433.36,1,41.06,33.9,27.883333333333333,25.783333333333335,Frisch saniert- Seniorenwohnung 50+,https://www.immobilienscout24.de/expose/114782403,false,false,14059
Markstr. 25,,true,,Berlin,Vermietungsteam Stadthaus Verwaltungsgesellschaft,Reinickendorf (Reinickendorf),false,113,,false,114466553,true,52.5592,13.36546,8,030 236314926,false,396,1,40.01,221.01666666666668,286.75,280.46666666666664,Gemütliche Single / Studenten - 1-Zimmerwohnung! - Einbauküche - Balkon -509€ warm,https://www.immobilienscout24.de/expose/114466553,false,false,13409
Gitschiner Str. 38,,true,true,Berlin,Jan Gerke,Kreuzberg (Kreuzberg),true,199.56,,false,114413033,false,52.49777,13.41001,6,,false,410.44,1,42.99,14.0,12.15,11.333333333333334,Tolle Aussicht für alle ab 55 Jahren!,https://www.immobilienscout24.de/expose/114413033,false,false,10969
Müllerstr. 67,,false,,Berlin,Felix Bandemer,Wedding (Wedding),false,125,,false,114344449,false,52.5567,13.34173,5,,false,575,2,40.34,17.9,21.883333333333333,31.283333333333335,Sanierte helle 2-Wohnung in der Nähe vom Schillerpark,https://www.immobilienscout24.de/expose/114344449,false,false,13349
Dolziger Straße 43,,false,,Berlin,BIDDEX Immobilien,Friedrichshain (Friedrichshain),false,84.2700000000001,,false,113894427,false,52.51931,13.46692,4,,false,561.8,1,56.18,36.266666666666666,12.516666666666667,20.666666666666668,Befristete 1-Zimmerwohnung im Samariterkiez !,https://www.immobilienscout24.de/expose/113894427,false,false,10247
Sonnenallee 156,,true,,Berlin,Paolo Guerra,Neukölln (Neukölln),false,100,,false,113779484,true,52.47809,13.44613,21,,false,680,2,57,29.766666666666666,22.416666666666668,5.7,Möblierte 2-Zimmer-Altbauwohnung mit Balkon in Neukölln,https://www.immobilienscout24.de/expose/113779484,false,false,12059
Neue Kantstraße 29-30,,true,,Berlin,  Vermietung,Charlottenburg (Charlottenburg),true,111.26999999999998,,false,113430528,true,52.50643,13.29351,7,,false,587.73,2,45.21,32.416666666666664,22.683333333333334,23.883333333333333,"Charlottenburg: zentral gelegene, modernisierte 2 Zimmer Wohnung mit Balkon",https://www.immobilienscout24.de/expose/113430528,false,false,14057
Holtzendorffstraße 15,,true,true,Berlin,,Charlottenburg (Charlottenburg),true,221,,false,113386622,true,52.50514,13.29512,5,,false,509,2,69.5,28.916666666666668,23.45,24.216666666666665,zentrale 2 1/2 Zimmer Wohnung,https://www.immobilienscout24.de/expose/113386622,false,false,14057
Stargarder Str. 59,,false,true,Berlin,,Prenzlauer Berg (Prenzlauer Berg),false,140.0,,false,112526405,false,52.54538,13.42175,7,,false,639.54,1,53.03,28.3,7.716666666666667,28.033333333333335,große 1-Zimmer Erdgeschosswohnung im Prenzlauer Berg,https://www.immobilienscout24.de/expose/112526405,false,false,10437
Conrad-Blenkle-Straße 65,,false,true,Berlin,Martin Meyer,Prenzlauer Berg (Prenzlauer Berg),false,63,,false,102197393,false,52.52786,13.44972,13,030 814095722,false,510,1,48.13,32.71666666666667,9.45,22.85,Modernisierte 1-Raum-Wohnung zu vermieten! Besichtigung am 07.01.2020 von 16:00 Uhr!,https://www.immobilienscout24.de/expose/102197393,false,false,10407
Eichbuschallee 20-30,,true,true,Berlin,A Oelmann,Plänterwald (Treptow),false,117.84999999999997,,false,96315258,false,52.47396,13.48297,13,,true,447.83,2,47.14,35.86666666666667,21.066666666666666,11.533333333333333,"Schöne zwei Zimmer Wohnung in Berlin, Plänterwald (Treptow)",https://www.immobilienscout24.de/expose/96315258,false,false,12437
Bandelstr. 32,,true,,Berlin,Stephan Papke,Tiergarten (Tiergarten),false,150,,false,92740774,false,52.52837,13.34964,9,,false,465,2,50.84,31.1,17.983333333333334,25.55,"helle, ruhige und renovierte 2-Zimmer Wohnung in Moabit",https://www.immobilienscout24.de/expose/92740774,false,false,10559
Mommsenstraße 21,,false,true,Berlin,G. Mielke,Charlottenburg (Charlottenburg),false,115,,false,79198843,true,52.50386,13.3109,9,,true,510,1.5,41,28.416666666666668,21.75,22.366666666666667,"SCHÖNE 1,5 ZIMMER ALTBAU WOHNUNG MOMMSENSTRASSE CHARLOTTENBURG",https://www.immobilienscout24.de/expose/79198843,false,false,10629
Ringbahnstraße 5-7,,false,true,Berlin,Belinda Heinike,Tempelhof (Tempelhof),true,165,,false,37786253,false,52.46606,13.39437,8,030 88095853,false,490,2,49,15.433333333333334,21.683333333333334,12.866666666666667,2-Zimmer Wohnung in Tempelhof,https://www.immobilienscout24.de/expose/37786253,false,false,12099
